latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
14.771921,98.496964,367,0.59,0.53,2019-04-01,0609,N,VIIRS,h,1,293.93,21.17,D,0
14.776662,98.49559,336.84,0.59,0.53,2019-04-01,0609,N,VIIRS,n,1,289.63,9.23,D,0
14.790372,98.514915,331.49,0.59,0.53,2019-04-01,0609,N,VIIRS,n,1,289.34,2.95,D,3
15.08994,100.013382,331.86,0.46,0.47,2019-04-01,0609,N,VIIRS,n,1,292.75,3.4,D,0
15.56198,102.127472,331.96,0.51,0.41,2019-04-01,0610,N,VIIRS,n,1,300.75,4.44,D,0
15.565757,102.126785,340.64,0.51,0.41,2019-04-01,0610,N,VIIRS,n,1,300.52,10.62,D,0
14.937164,98.241531,342.98,0.61,0.53,2019-04-01,0610,N,VIIRS,n,1,293.98,21.06,D,0
14.938476,98.221313,337.58,0.61,0.54,2019-04-01,0610,N,VIIRS,n,1,295.48,4.9,D,0
14.935062,98.246071,335.02,0.61,0.53,2019-04-01,0610,N,VIIRS,n,1,291.84,11.42,D,0
15.50079,101.251579,332.52,0.38,0.44,2019-04-01,0610,N,VIIRS,n,1,292.2,3.53,D,0
15.50733,101.265182,333.67,0.38,0.43,2019-04-01,0610,N,VIIRS,n,1,297.92,6.69,D,0
14.944908,98.21833,337.16,0.61,0.54,2019-04-01,0610,N,VIIRS,n,1,295.8,11.78,D,0
14.970545,98.245979,341.07,0.61,0.53,2019-04-01,0610,N,VIIRS,n,1,295.01,12.61,D,0
14.969439,98.240227,341.68,0.61,0.53,2019-04-01,0610,N,VIIRS,n,1,295.57,12.61,D,0
14.975567,98.245735,341.83,0.61,0.53,2019-04-01,0610,N,VIIRS,n,1,296.94,20.59,D,0
14.974309,98.239182,340.46,0.61,0.53,2019-04-01,0610,N,VIIRS,n,1,297.18,20.59,D,0
15.779236,102.492599,330.75,0.49,0.4,2019-04-01,0610,N,VIIRS,n,1,297.37,2.35,D,0
15.494467,100.792252,343.45,0.41,0.45,2019-04-01,0610,N,VIIRS,n,1,289.95,2.54,D,0
15.302166,99.526604,341.78,0.5,0.49,2019-04-01,0610,N,VIIRS,n,1,299.86,6.57,D,0
15.050756,98.207207,333.5,0.61,0.53,2019-04-01,0610,N,VIIRS,n,1,296.06,8.24,D,0
